customer_id,online_order,list_price,order_status_Approved,order_status_Cancelled,brand_Giant Bicycles,brand_Norco Bicycles,brand_OHM Cycles,brand_Solex,brand_Trek Bicycles,brand_WeareA2B,product_line_Mountain,product_line_Road,product_line_Standard,product_line_Touring,offline_order,recency,top_customer
1,6.0,9084.449999999999,11,0,4,2,2,2,1,0,1,3,7,0,5.0,849.5823481728935,1.0
2,1.0,4149.07,3,0,1,0,0,0,0,2,0,0,3,0,2.0,970.5823481728935,0.0
3,2.0,9888.23,8,0,2,3,0,0,3,0,1,3,4,0,6.0,944.5823481728935,0.0
4,1.0,1047.72,2,0,1,0,0,1,0,0,0,0,2,0,1.0,1037.5823481728935,0.0
5,2.0,5903.2,6,0,1,2,0,1,1,1,1,3,2,0,4.0,858.5823481728935,0.0
6,2.0,5931.6900000000005,5,0,2,0,0,0,1,2,0,0,5,0,3.0,906.5823481728935,0.0
7,2.0,995.38,3,0,0,1,0,0,1,1,1,0,2,0,1.0,1095.5823481728935,0.0
8,6.0,12024.759999999998,10,0,3,2,0,1,2,2,0,1,8,1,4.0,864.5823481728935,0.0
9,1.0,5357.55,6,0,1,0,1,3,0,1,0,1,5,0,5.0,920.5823481728935,0.0
10,2.0,7067.83,6,0,1,0,1,2,1,1,1,1,4,0,4.0,875.5823481728935,0.0
11,3.0,6779.4400000000005,6,0,1,1,0,1,0,3,0,0,4,2,3.0,888.5823481728935,0.0
12,3.0,6394.21,7,0,1,4,0,1,0,1,0,1,6,0,4.0,909.5823481728935,0.0
13,4.0,7734.740000000001,7,0,0,2,0,2,1,2,0,1,4,2,3.0,869.5823481728935,0.0
14,3.0,3593.57,4,0,0,1,2,1,0,0,1,0,3,0,1.0,889.5823481728935,0.0
15,3.0,4923.339999999999,6,0,1,2,0,2,0,1,0,2,4,0,3.0,877.5823481728935,0.0
16,1.0,7763.79,5,0,1,0,2,0,1,1,0,1,4,0,4.0,941.5823481728935,0.0
17,2.0,4676.1900000000005,5,0,2,0,0,1,2,0,0,1,4,0,3.0,842.5823481728935,0.0
18,4.0,8878.62,7,0,3,1,1,1,0,1,0,0,6,1,3.0,976.5823481728935,0.0
19,1.0,4238.1900000000005,3,0,1,0,1,1,0,0,0,0,3,0,2.0,944.5823481728935,0.0
20,2.0,6618.860000000001,4,0,2,0,0,0,1,1,0,0,4,0,2.0,873.5823481728935,0.0
21,2.0,7446.209999999999,5,0,1,2,1,0,1,0,0,1,4,0,3.0,848.5823481728935,0.0
22,4.0,9546.35,7,1,1,1,1,2,2,1,0,1,7,0,4.0,939.5823481728935,0.0
23,4.0,8415.53,7,0,0,0,1,2,1,3,1,0,6,0,3.0,852.5823481728935,0.0
24,3.0,8078.950000000001,8,0,1,0,3,2,0,2,0,1,6,1,5.0,859.5823481728935,0.0
25,8.0,9996.33,12,0,2,2,3,3,0,2,0,2,10,0,4.0,847.5823481728935,1.0
26,2.0,3943.12,3,0,0,0,1,1,0,1,0,1,1,1,1.0,955.5823481728935,0.0
27,2.0,7679.97,7,0,0,3,0,2,0,2,0,0,6,1,5.0,985.5823481728935,0.0
28,5.0,5492.900000000001,6,0,0,2,1,1,1,1,0,1,5,0,1.0,925.5823481728935,0.0
29,3.0,10855.57,9,0,1,0,3,2,1,2,0,1,6,2,6.0,864.5823481728935,0.0
30,2.0,3736.5199999999995,3,0,0,0,0,1,1,1,0,1,2,0,1.0,853.5823481728935,0.0
31,3.0,3109.9999999999995,4,0,0,0,1,2,1,0,0,2,2,0,1.0,931.5823481728935,0.0
32,2.0,7873.18,7,0,3,0,0,4,0,0,0,2,5,0,5.0,980.5823481728935,0.0
33,3.0,9384.23,6,1,0,0,1,1,2,3,0,1,6,0,4.0,880.5823481728935,0.0
